Starting Year,Rank,Team,Home: Total Games,Home: Total Attendance,Home: Avg Attendance,Home: % Capactiy,Away: Total Games,Away: Total Attendance,Away: Avg Attendance,Away: % Capactiy,Total AVG,Total PCT
2016,1,Bulls,41,"894,659","21,820",104.3,41,"18,156",94.5,82,"19,988",99.4
2016,2,Cavaliers,41,"843,042","20,562",100,41,"18,910",98.2,82,"19,736",99.1
2016,3,Mavericks,41,"825,901","20,143",104.9,41,"17,727",93.4,82,"18,935",99.15
2016,4,Raptors,41,"812,863","19,825",100.1,41,"17,162",89.2,82,"18,494",94.65
2016,5,NY Knicks,41,"812,292","19,812",100,41,"18,440",96,82,"19,126",98
2016,6,Heat,41,"809,350","19,740",100.7,41,"18,044",93.9,82,"18,892",97.3
2016,7,Warriors,41,"803,436","19,596",100,41,"19,134",100.5,82,"19,365",100.25
2016,8,Trail Blazers,41,"794,085","19,367",99.6,41,"17,703",93.3,82,"18,535",96.45
2016,9,Jazz,41,"791,489","19,304",97,41,"17,378",91.6,82,"18,341",94.3
2016,10,Clippers,41,"786,910","19,192",100.7,41,"17,792",93.6,82,"18,492",97.15
2016,11,Lakers,41,"778,877","18,997",99.7,41,"19,149",100.9,82,"19,073",100.3
2016,12,Spurs,41,"756,445","18,449",99.3,41,"17,938",94.4,82,"18,194",96.85
2016,13,Celtics,41,"749,076","18,270",98.1,41,"17,439",90.5,82,"17,855",94.3
2016,14,Thunder,41,"746,323","18,203",100,41,"18,258",95.6,82,"18,231",97.8
2016,15,Rockets,41,"737,244","17,981",99.7,41,"17,740",93.3,82,"17,861",96.5
2016,16,Wizards,41,"725,426","17,693",87.3,41,"17,787",92.4,82,"17,740",89.85
2016,17,Magic,41,"719,275","17,543",93.1,41,"17,175",89.2,82,"17,359",91.15
2016,18,Hornets,41,"716,894","17,485",91.7,41,"17,784",92.4,82,"17,635",92.05
2016,19,Kings,41,"707,526","17,256",99.7,41,"17,355",91,82,"17,306",95.35
2016,20,Suns,41,"701,405","17,107",92.9,41,"16,881",88.7,82,"16,994",90.8
2016,21,Pacers,41,"690,733","16,847",92.7,41,"17,851",92.3,82,"17,349",92.5
2016,22,Hawks,41,"690,150","16,832",89.9,41,"17,611",91,82,"17,222",90.45
2016,23,Pelicans,41,"688,549","16,793",97.7,41,"17,851",93.6,82,"17,322",95.65
2016,24,Grizzlies,41,"684,603","16,697",92.2,41,"17,589",92.1,82,"17,143",92.15
2016,25,Pistons,41,"677,138","16,515",74.8,41,"17,814",93,82,"17,165",83.9
2016,26,Bucks,41,"621,808","15,166",81,41,"17,623",91.4,82,"16,395",86.2
2016,27,Nets,41,"620,142","15,125",83.6,41,"18,106",93.6,82,"16,616",88.6
2016,28,76ers,41,"610,121","14,881",73.2,41,"17,491",90.7,82,"16,186",81.95
2016,29,Timberwolves,41,"581,178","14,175",73.2,41,"17,831",94,82,"16,003",83.6
