NBA Season,Team,% Salary Cap,Prev # All-Stars,Prev W-L,# (H) Games,(H) Attendance Season,(H) Arena Capacity,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Avg Attendance,(A) % Capacity,(A) Games,(H) & (A) Avg,(H) & (A) PCT
2008-2009,Atlanta Hawks,1.16,1,0.45,41,686688,18118,742838,16748,0.89,41,17303,0.9,82,17026,0.9
2009-2010,Atlanta Hawks,1.05,2,0.57,41,678375,18118,742838,16546,0.88,41,17097,0.89,82,16821,0.88
2010-2011,Atlanta Hawks,1.17,2,0.65,41,641596,18118,742838,15649,0.84,41,16957,0.88,82,16303,0.86
2011-2012,Atlanta Hawks,1.23,1,0.54,33,501593,18118,597894,15200,0.81,33,16820,0.87,66,16010,0.84
2012-2013,Atlanta Hawks,1.13,0,0.61,41,620146,18118,742838,15126,0.81,41,17165,0.89,82,16145,0.85
2013-2014,Atlanta Hawks,0.94,1,0.54,41,587927,18118,742838,14340,0.77,41,17274,0.9,82,15807,0.83
2014-2015,Atlanta Hawks,0.93,4,0.46,41,713909,18118,742838,17412,0.93,41,17582,0.91,82,17497,0.92
2015-2016,Atlanta Hawks,1.03,2,0.73,41,690150,18118,742838,16833,0.9,41,17611,0.91,82,17222,0.9
2016-2017,Atlanta Hawks,1.05,1,0.59,41,690150,18118,742838,16833,0.9,41,17611,0.91,82,17222,0.9
2008-2009,Boston Celtics,1.35,3,0.81,41,763584,18624,763584,18624,1,41,18975,0.98,82,18800,0.99
2009-2010,Boston Celtics,1.33,3,0.76,41,744961,18624,763584,18170,0.98,41,18154,0.94,82,18162,0.96
2010-2011,Boston Celtics,1.34,4,0.61,41,763584,18624,763584,18624,1,41,18964,0.98,82,18794,0.99
2011-2012,Boston Celtics,1.33,2,0.68,33,614592,18624,614592,18624,1,33,18288,0.94,66,18456,0.97
2012-2013,Boston Celtics,1.31,2,0.59,40,744960,18624,744960,18624,1,41,17768,0.92,81,18196,0.96
2013-2014,Boston Celtics,1.09,0,0.51,41,742400,18624,763584,18107,0.97,41,17484,0.91,82,17796,0.94
2014-2015,Boston Celtics,0.97,0,0.31,41,721350,18624,763584,17594,0.95,41,17741,0.92,82,17667,0.93
2015-2016,Boston Celtics,1.12,1,0.49,41,749076,18624,763584,18270,0.98,41,17439,0.91,82,17855,0.94
2016-2017,Boston Celtics,1.02,1,0.59,41,749076,18624,763584,18270,0.98,41,17439,0.91,82,17855,0.94
2008-2009,Brooklyn/New Jersey Nets,1.07,1,0.42,41,621062,17732,727012,15148,0.76,41,17586,0.91,82,16367,0.83
2009-2010,Brooklyn/New Jersey Nets,0.95,0,0.42,41,537230,17732,727012,13103,0.69,41,16446,0.85,82,14775,0.77
2010-2011,Brooklyn/New Jersey Nets,0.96,0,0.15,41,581378,17732,727012,14180,0.81,41,17098,0.88,82,15639,0.85
2011-2012,Brooklyn/New Jersey Nets,1.09,1,0.29,33,460719,17732,585156,13961,0.76,33,17081,0.88,66,15521,0.82
2012-2013,Brooklyn/New Jersey Nets,1.43,1,0.33,41,704702,17732,727012,17188,0.95,41,17239,0.89,82,17213,0.92
2013-2014,Brooklyn/New Jersey Nets,1.75,1,0.6,41,707331,17732,727012,17252,0.95,41,17528,0.91,82,17390,0.93
2014-2015,Brooklyn/New Jersey Nets,1.46,0,0.54,41,698529,17732,727012,17037,0.94,41,18039,0.93,82,17538,0.94
2015-2016,Brooklyn/New Jersey Nets,1.21,0,0.46,41,620142,17732,727012,15125,0.84,41,18106,0.94,82,16616,0.89
2016-2017,Brooklyn/New Jersey Nets,0.92,1,0.26,41,620142,17732,727012,15125,0.84,41,18106,0.94,82,16616,0.89
2008-2009,Charlotte Hornets,1.07,0,0.68,40,581049,19077,763080,14526,0.76,41,17310,0.9,81,15918,0.83
2009-2010,Charlotte Hornets,1.09,1,0.6,41,648790,19077,782157,15824,0.83,41,16256,0.85,82,16040,0.84
2010-2011,Charlotte Hornets,1.07,0,0.45,41,649694,19077,782157,15846,0.83,41,16473,0.86,82,16160,0.84
2011-2012,Charlotte Hornets,0.97,0,0.56,33,486984,19077,629541,14757,0.77,33,16534,0.86,66,15646,0.81
2012-2013,Charlotte Hornets,0.97,0,0.32,41,628293,19077,782157,15324,0.8,41,16502,0.86,82,15913,0.83
2013-2014,Charlotte Hornets,1.07,0,0.33,41,636268,19077,782157,15519,0.81,41,17026,0.88,82,16272,0.85
2014-2015,Charlotte Hornets,1.04,0,0.52,41,704886,19077,782157,17192,0.9,41,17654,0.91,82,17423,0.91
2015-2016,Charlotte Hornets,1.12,0,0.4,41,716894,19077,782157,17485,0.92,41,17784,0.92,82,17635,0.92
2016-2017,Charlotte Hornets,0.99,1,0.59,41,716894,19077,782157,17485,0.92,41,17784,0.92,82,17635,0.92
2008-2009,Chicago Bulls,1.16,0,0.4,40,847903,21711,868440,21198,0.98,41,17558,0.94,81,19378,0.96
2009-2010,Chicago Bulls,1.11,1,0.5,41,849760,20917,857597,20726,0.99,41,17735,0.92,82,19230,0.96
2010-2011,Chicago Bulls,0.89,1,0.5,41,893462,20917,857597,21792,1.04,41,18431,0.96,82,20111,1
2011-2012,Chicago Bulls,1.16,2,0.76,33,731326,20917,690261,22161,1.06,33,17989,0.94,66,20075,1
2012-2013,Chicago Bulls,1.28,2,0.76,41,896944,20917,857597,21877,1.05,41,18144,0.94,82,20010,1
2013-2014,Chicago Bulls,1.45,1,0.55,41,890370,20917,857597,21716,1.04,41,17551,0.91,82,19634,0.97
2014-2015,Chicago Bulls,1.06,2,0.59,41,875091,20917,857597,21344,1.02,41,18404,0.96,82,19874,0.99
2015-2016,Chicago Bulls,1.24,2,0.61,41,894659,20917,857597,21821,1.04,41,18156,0.95,82,19988,0.99
2016-2017,Chicago Bulls,1.01,1,0.51,41,894659,20917,857597,21821,1.04,41,18156,0.95,82,19988,0.99
2008-2009,Cleveland Cavaliers,1.56,2,0.55,41,820439,20562,843042,20011,0.97,41,18899,0.98,82,19455,0.98
2009-2010,Cleveland Cavaliers,1.33,1,0.81,41,843042,20562,843042,20562,1,41,19200,1,82,19881,1
2010-2011,Cleveland Cavaliers,0.88,0,0.74,41,824595,20562,843042,20112,0.98,41,16200,0.84,82,18156,0.91
2011-2012,Cleveland Cavaliers,1.08,0,0.23,33,525577,20562,678546,15927,0.78,33,16723,0.87,66,16325,0.82
2012-2013,Cleveland Cavaliers,1.16,1,0.32,41,663882,20562,843042,16192,0.79,41,16780,0.87,82,16486,0.83
2013-2014,Cleveland Cavaliers,0.8,1,0.29,41,710522,20562,843042,17330,0.84,41,17388,0.9,82,17359,0.87
2014-2015,Cleveland Cavaliers,1.3,2,0.4,41,843042,20562,843042,20562,1,41,18915,0.98,82,19739,0.99
2015-2016,Cleveland Cavaliers,1.53,1,0.65,41,843042,20562,843042,20562,1,41,18910,0.98,82,19736,0.99
2016-2017,Cleveland Cavaliers,1.39,3,0.7,41,843042,20562,843042,20562,1,41,18910,0.98,82,19736,0.99
2008-2009,Dallas Mavericks,1.62,1,0.62,41,821723,20000,820000,20042,1.04,41,17102,0.9,82,18572,0.97
2009-2010,Dallas Mavericks,1.42,2,0.61,41,819770,20000,820000,19994,1.04,41,17129,0.9,82,18562,0.97
2010-2011,Dallas Mavericks,1.4,1,0.67,41,824162,20000,820000,20102,1.05,41,16657,0.88,82,18379,0.96
2011-2012,Dallas Mavericks,1.24,1,0.7,33,671050,20000,660000,20335,1.06,33,17712,0.93,66,19023,0.99
2012-2013,Dallas Mavericks,1.14,0,0.55,41,821490,20000,820000,20036,1.04,41,17613,0.93,82,18825,0.98
2013-2014,Dallas Mavericks,1.15,1,0.5,41,817982,20000,820000,19951,1.04,41,17268,0.91,82,18609,0.97
2014-2015,Dallas Mavericks,1.33,1,0.6,41,827702,20000,820000,20188,1.05,41,17653,0.93,82,18920,0.99
2015-2016,Dallas Mavericks,1.07,0,0.61,41,825901,20000,820000,20144,1.05,41,17727,0.93,82,18935,0.99
2016-2017,Dallas Mavericks,1.14,1,0.51,41,825901,20000,820000,20144,1.05,41,17727,0.93,82,18935,0.99
2008-2009,Denver Nuggets,1.19,1,0.61,41,706165,19155,785355,17224,0.9,41,17227,0.9,82,17225,0.9
2009-2010,Denver Nuggets,1.19,2,0.66,41,737812,19155,785355,17995,0.94,41,17446,0.92,82,17721,0.93
2010-2011,Denver Nuggets,1.11,1,0.65,41,692968,19155,785355,16902,0.88,41,17285,0.91,82,17093,0.9
2011-2012,Denver Nuggets,0.98,0,0.61,33,561966,19155,632115,17029,0.89,33,17228,0.91,66,17129,0.9
2012-2013,Denver Nuggets,1.16,0,0.58,41,730616,19155,785355,17820,0.93,41,17401,0.91,82,17610,0.92
2013-2014,Denver Nuggets,1.15,0,0.7,41,692898,19155,785355,16900,0.88,41,17211,0.9,82,17055,0.89
2014-2015,Denver Nuggets,0.89,0,0.44,41,602707,19155,785355,14700,0.77,41,17437,0.92,82,16069,0.84
2015-2016,Denver Nuggets,1.05,0,0.37,41,577898,19155,785355,14095,0.74,41,17751,0.93,82,15923,0.83
2016-2017,Denver Nuggets,0.9,1,0.4,41,577898,19155,785355,14095,0.74,41,17751,0.93,82,15923,0.83
2008-2009,Detroit Pistons,1.22,1,0.72,41,896971,22076,905116,21877,0.99,41,18024,0.94,82,19951,0.96
