NBA Season,Team,% Salary Cap,Prev # All-Stars,Prev W-L,# (H) Games,(H) Attendance Season,(H) Arena Capacity,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Avg Attendance,(A) % Capacity,(A) Games,(H) & (A) Avg,(H) & (A) PCT
2014-2015,Atlanta Hawks,0.93,4,0.46,41,713909,18118,742838,17412,0.93,41,17582,0.91,82,17497,0.92
2010-2011,Boston Celtics,1.34,4,0.61,41,763584,18624,763584,18624,1,41,18964,0.98,82,18794,0.99
2016-2017,Golden State Warriors,1.11,4,0.89,41,803436,19596,803436,19596,1,41,19134,1.01,82,19365,1
2011-2012,Miami Heat,1.24,3,0.71,33,657855,19600,646800,19935,1.02,33,19399,1,66,19667,1.01
2008-2009,Orlando Magic,1.19,3,0.63,41,698768,17283,708603,17043,0.98,40,17900,0.92,81,17472,0.95
2009-2010,Boston Celtics,1.33,3,0.76,41,744961,18624,763584,18170,0.98,41,18154,0.94,82,18162,0.96
2008-2009,Boston Celtics,1.35,3,0.81,41,763584,18624,763584,18624,1,41,18975,0.98,82,18800,0.99
2015-2016,Golden State Warriors,1.36,3,0.82,41,803436,19596,803436,19596,1,41,19134,1.01,82,19365,1
2010-2011,Miami Heat,1.05,3,0.57,41,810930,19600,803600,19779,1.01,41,19447,1.01,82,19613,1.01
2013-2014,Miami Heat,1.4,3,0.81,41,811036,19600,803600,19781,1.01,41,19190,0.99,82,19486,1
2012-2013,Miami Heat,1.38,3,0.7,41,819290,19600,803600,19983,1.02,41,19090,0.99,82,19536,1.01
2016-2017,Cleveland Cavaliers,1.39,3,0.7,41,843042,20562,843042,20562,1,41,18910,0.98,82,19736,0.99
