Year,Team,Count of Player
2011-2012,Atlanta Hawks,0
2006-2007,Atlanta Hawks,1
2007-2008,Atlanta Hawks,1
2010-2011,Atlanta Hawks,1
2012-2013,Atlanta Hawks,1
2015-2016,Atlanta Hawks,1
2008-2009,Atlanta Hawks,2
2009-2010,Atlanta Hawks,2
2014-2015,Atlanta Hawks,2
2013-2014,Atlanta Hawks,4
2011-2012,Boston Celtics,0
2012-2013,Boston Celtics,0
2013-2014,Boston Celtics,0
2014-2015,Boston Celtics,1
2015-2016,Boston Celtics,1
2010-2011,Boston Celtics,2
2011-2012,Boston Celtics,2
2006-2007,Boston Celtics,3
2007-2008,Boston Celtics,3
2008-2009,Boston Celtics,3
2009-2010,Boston Celtics,4
2007-2008,Brooklyn Nets,0
2008-2009,Brooklyn Nets,0
2009-2010,Brooklyn Nets,0
2013-2014,Brooklyn Nets,0
2014-2015,Brooklyn Nets,0
2011-2012,Brooklyn Nets,1
2012-2013,Brooklyn Nets,1
2015-2016,Brooklyn Nets,1
2006-2007,Charlotte Bobcats,0
2007-2008,Charlotte Bobcats,0
2009-2010,Charlotte Bobcats,0
2010-2011,Charlotte Bobcats,0
2011-2012,Charlotte Bobcats,0
2012-2013,Charlotte Bobcats,0
2013-2014,Charlotte Bobcats,0
2014-2015,Charlotte Bobcats,0
2008-2009,Charlotte Bobcats,1
2015-2016,Charlotte Hornets,1
2006-2007,Chicago Bulls,0
2007-2008,Chicago Bulls,0
2010-2011,Chicago Bulls,0
2008-2009,Chicago Bulls,1
2009-2010,Chicago Bulls,1
2012-2013,Chicago Bulls,1
2015-2016,Chicago Bulls,1
2010-2011,Chicago Bulls,2
2011-2012,Chicago Bulls,2
2013-2014,Chicago Bulls,2
2014-2015,Chicago Bulls,2
2006-2007,Cleveland Cavaliers,0
2009-2010,Cleveland Cavaliers,0
2010-2011,Cleveland Cavaliers,0
2006-2007,Cleveland Cavaliers,1
2008-2009,Cleveland Cavaliers,1
2011-2012,Cleveland Cavaliers,1
2012-2013,Cleveland Cavaliers,1
2014-2015,Cleveland Cavaliers,1
2007-2008,Cleveland Cavaliers,2
2013-2014,Cleveland Cavaliers,2
2015-2016,Cleveland Cavaliers,3
2011-2012,Dallas Mavericks,0
2014-2015,Dallas Mavericks,0
2006-2007,Dallas Mavericks,1
2007-2008,Dallas Mavericks,1
2009-2010,Dallas Mavericks,1
2010-2011,Dallas Mavericks,1
2012-2013,Dallas Mavericks,1
2013-2014,Dallas Mavericks,1
2015-2016,Dallas Mavericks,1
2008-2009,Dallas Mavericks,2
2010-2011,Denver Nuggets,0
2011-2012,Denver Nuggets,0
2012-2013,Denver Nuggets,0
2013-2014,Denver Nuggets,0
2014-2015,Denver Nuggets,0
2007-2008,Denver Nuggets,1
2009-2010,Denver Nuggets,1
2015-2016,Denver Nuggets,1
2006-2007,Denver Nuggets,2
2008-2009,Denver Nuggets,2
2008-2009,Detroit Pistons,0
2009-2010,Detroit Pistons,0
2010-2011,Detroit Pistons,0
2011-2012,Detroit Pistons,0
2012-2013,Detroit Pistons,0
2013-2014,Detroit Pistons,0
2007-2008,Detroit Pistons,1
2014-2015,Detroit Pistons,1
2015-2016,Detroit Pistons,1
2006-2007,Detroit Pistons,3
2006-2007,Golden State Warriors,0
2007-2008,Golden State Warriors,0
2008-2009,Golden State Warriors,0
2009-2010,Golden State Warriors,0
2010-2011,Golden State Warriors,0
2011-2012,Golden State Warriors,1
2012-2013,Golden State Warriors,1
2013-2014,Golden State Warriors,2
2014-2015,Golden State Warriors,3
2015-2016,Golden State Warriors,4
2008-2009,Houston Rockets,0
2010-2011,Houston Rockets,0
2006-2007,Houston Rockets,1
2007-2008,Houston Rockets,1
2009-2010,Houston Rockets,1
2011-2012,Houston Rockets,1
2013-2014,Houston Rockets,1
2014-2015,Houston Rockets,1
2015-2016,Houston Rockets,1
2012-2013,Houston Rockets,2
2006-2007,Indiana Pacers,0
2008-2009,Indiana Pacers,0
2009-2010,Indiana Pacers,0
2013-2014,Indiana Pacers,0
2007-2008,Indiana Pacers,1
2010-2011,Indiana Pacers,1
2011-2012,Indiana Pacers,1
2014-2015,Indiana Pacers,1
2015-2016,Indiana Pacers,1
2012-2013,Indiana Pacers,2
2006-2007,Los Angeles Clippers,0
2007-2008,Los Angeles Clippers,0
2008-2009,Los Angeles Clippers,1
2009-2010,Los Angeles Clippers,1
2014-2015,Los Angeles Clippers,1
2015-2016,Los Angeles Clippers,1
2010-2011,Los Angeles Clippers,2
2011-2012,Los Angeles Clippers,2
2012-2013,Los Angeles Clippers,2
2013-2014,Los Angeles Clippers,2
2006-2007,Los Angeles Lakers,1
2012-2013,Los Angeles Lakers,1
2013-2014,Los Angeles Lakers,1
2014-2015,Los Angeles Lakers,1
2015-2016,Los Angeles Lakers,1
2007-2008,Los Angeles Lakers,2
2008-2009,Los Angeles Lakers,2
2009-2010,Los Angeles Lakers,2
2010-2011,Los Angeles Lakers,2
2011-2012,Los Angeles Lakers,2
2006-2007,Memphis Grizzlies,0
2007-2008,Memphis Grizzlies,0
2009-2010,Memphis Grizzlies,0
2012-2013,Memphis Grizzlies,0
2014-2015,Memphis Grizzlies,0
2008-2009,Memphis Grizzlies,1
2010-2011,Memphis Grizzlies,1
2011-2012,Memphis Grizzlies,1
2013-2014,Memphis Grizzlies,1
2015-2016,Memphis Grizzlies,1
2006-2007,Miami Heat,1
2007-2008,Miami Heat,1
2008-2009,Miami Heat,1
2015-2016,Miami Heat,1
2013-2014,Miami Heat,2
2014-2015,Miami Heat,2
2009-2010,Miami Heat,3
2010-2011,Miami Heat,3
2011-2012,Miami Heat,3
2012-2013,Miami Heat,3
2006-2007,Milwaukee Bucks,0
2007-2008,Milwaukee Bucks,0
2008-2009,Milwaukee Bucks,0
2009-2010,Milwaukee Bucks,0
2010-2011,Milwaukee Bucks,0
2011-2012,Milwaukee Bucks,0
2012-2013,Milwaukee Bucks,0
2013-2014,Milwaukee Bucks,0
