NBA Season,Team,# (H) Games,(H) Attendance Season,(H) Capacity %,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Attendance Season,(A) Avg Attendance,(A) Capacity % ,(H) & (A) Avg,(H) & (A) PCT
2008-2009,Atlanta Hawks,41,686688,18118,742838,16748.4878,89.4,41,17303,89.6,82,17026,89.5
2009-2010,Atlanta Hawks,41,678375,18118,742838,16545.73171,88.3,41,17097,88.5,82,16821,88.4
2010-2011,Atlanta Hawks,41,641596,18118,742838,15648.68293,83.6,41,16957,87.9,82,16303,85.75
2011-2012,Atlanta Hawks,33,501593,18118,597894,15199.78788,81.2,33,16820,87.1,66,16010,84.15
2012-2013,Atlanta Hawks,41,620146,18118,742838,15125.5122,80.8,41,17165,89,82,16145,84.9
2013-2014,Atlanta Hawks,41,587927,18118,742838,14339.68293,76.6,41,17274,89.5,82,15807,83.05
2014-2015,Atlanta Hawks,41,713909,18118,742838,17412.41463,93,41,17582,90.8,82,17497,91.9
2015-2016,Atlanta Hawks,41,690150,18118,742838,16832.92683,89.9,41,17611,91,82,17222,90.45
2016-2017,Atlanta Hawks,41,690150,18118,742838,16832.92683,89.9,41,17611,91,82,17222,90.45
2008-2009,Boston Celtics,41,763584,18624,763584,18624,100,41,18975,98.2,82,18800,99.1
2009-2010,Boston Celtics,41,744961,18624,763584,18169.78049,97.6,41,18154,93.9,82,18162,95.75
2010-2011,Boston Celtics,41,763584,18624,763584,18624,100,41,18964,98,82,18794,99
2011-2012,Boston Celtics,33,614592,18624,614592,18624,100,33,18288,94.3,66,18456,97.15
2012-2013,Boston Celtics,40,744960,18624,744960,18624,100,41,17768,91.8,81,18196,95.9
2013-2014,Boston Celtics,41,742400,18624,763584,18107.31707,97.2,41,17484,90.5,82,17796,93.85
2014-2015,Boston Celtics,41,721350,18624,763584,17593.90244,94.5,41,17741,91.9,82,17667,93.2
2015-2016,Boston Celtics,41,749076,18624,763584,18270.14634,98.1,41,17439,90.5,82,17855,94.3
2016-2017,Boston Celtics,41,749076,18624,763584,18270.14634,98.1,41,17439,90.5,82,17855,94.3
2008-2009,Brooklyn/New Jersey Nets,41,621062,17732,727012,15147.85366,75.8,41,17586,91,82,16367,83.4
2009-2010,Brooklyn/New Jersey Nets,41,537230,17732,727012,13103.17073,69.1,41,16446,85.4,82,14775,77.25
2010-2011,Brooklyn/New Jersey Nets,41,581378,17732,727012,14179.95122,80.6,41,17098,88.4,82,15639,84.5
2011-2012,Brooklyn/New Jersey Nets,33,460719,17732,585156,13961.18182,75.5,33,17081,87.9,66,15521,81.7
2012-2013,Brooklyn/New Jersey Nets,41,704702,17732,727012,17187.85366,94.9,41,17239,89.1,82,17213,92
2013-2014,Brooklyn/New Jersey Nets,41,707331,17732,727012,17251.97561,95.3,41,17528,90.6,82,17390,92.95
2014-2015,Brooklyn/New Jersey Nets,41,698529,17732,727012,17037.29268,94.1,41,18039,92.9,82,17538,93.5
2015-2016,Brooklyn/New Jersey Nets,41,620142,17732,727012,15125.41463,83.6,41,18106,93.6,82,16616,88.6
2016-2017,Brooklyn/New Jersey Nets,41,620142,17732,727012,15125.41463,83.6,41,18106,93.6,82,16616,88.6
2008-2009,Charlotte Hornets,40,581049,19077,763080,14526.225,76.3,41,17310,89.5,81,15918,82.9
2009-2010,Charlotte Hornets,41,648790,19077,782157,15824.14634,82.9,41,16256,84.7,82,16040,83.8
2010-2011,Charlotte Hornets,41,649694,19077,782157,15846.19512,83.1,41,16473,85.5,82,16160,84.3
2011-2012,Charlotte Hornets,33,486984,19077,629541,14757.09091,77.4,33,16534,85.5,66,15646,81.45
2012-2013,Charlotte Hornets,41,628293,19077,782157,15324.21951,80.3,41,16502,85.6,82,15913,82.95
2013-2014,Charlotte Hornets,41,636268,19077,782157,15518.73171,81.3,41,17026,88,82,16272,84.65
2014-2015,Charlotte Hornets,41,704886,19077,782157,17192.34146,90.1,41,17654,91.1,82,17423,90.6
2015-2016,Charlotte Hornets,41,716894,19077,782157,17485.21951,91.7,41,17784,92.4,82,17635,92.05
2016-2017,Charlotte Hornets,41,716894,19077,782157,17485.21951,91.7,41,17784,92.4,82,17635,92.05
2008-2009,Chicago Bulls,40,847903,21711,868440,21197.575,97.6,41,17558,93.6,81,19378,95.6
2009-2010,Chicago Bulls,41,849760,20917,857597,20725.85366,99.1,41,17735,92.2,82,19230,95.65
2010-2011,Chicago Bulls,41,893462,20917,857597,21791.7561,104.2,41,18431,96.1,82,20111,100.15
2011-2012,Chicago Bulls,33,731326,20917,690261,22161.39394,105.9,33,17989,93.5,66,20075,99.7
2012-2013,Chicago Bulls,41,896944,20917,857597,21876.68293,104.6,41,18144,94.4,82,20010,99.5
2013-2014,Chicago Bulls,41,890370,20917,857597,21716.34146,103.8,41,17551,91.1,82,19634,97.45
2014-2015,Chicago Bulls,41,875091,20917,857597,21343.68293,102,41,18404,95.7,82,19874,98.85
2015-2016,Chicago Bulls,41,894659,20917,857597,21820.95122,104.3,41,18156,94.5,82,19988,99.4
2016-2017,Chicago Bulls,41,894659,20917,857597,21820.95122,104.3,41,18156,94.5,82,19988,99.4
2008-2009,Cleveland Cavaliers,41,820439,20562,843042,20010.70732,97.3,41,18899,97.9,82,19455,97.6
2009-2010,Cleveland Cavaliers,41,843042,20562,843042,20562,100,41,19200,100.2,82,19881,100.1
2010-2011,Cleveland Cavaliers,41,824595,20562,843042,20112.07317,97.8,41,16200,84.1,82,18156,90.95
2011-2012,Cleveland Cavaliers,33,525577,20562,678546,15926.57576,77.5,33,16723,86.5,66,16325,82
2012-2013,Cleveland Cavaliers,41,663882,20562,843042,16192.2439,78.7,41,16780,87.3,82,16486,83
2013-2014,Cleveland Cavaliers,41,710522,20562,843042,17329.80488,84.3,41,17388,90.4,82,17359,87.35
2014-2015,Cleveland Cavaliers,41,843042,20562,843042,20562,100,41,18915,98.3,82,19739,99.15
2015-2016,Cleveland Cavaliers,41,843042,20562,843042,20562,100,41,18910,98.2,82,19736,99.1
2016-2017,Cleveland Cavaliers,41,843042,20562,843042,20562,100,41,18910,98.2,82,19736,99.1
2008-2009,Dallas Mavericks,41,821723,20000,820000,20042.02439,104.4,41,17102,89.6,82,18572,97
2009-2010,Dallas Mavericks,41,819770,20000,820000,19994.39024,104.1,41,17129,90.2,82,18562,97.15
2010-2011,Dallas Mavericks,41,824162,20000,820000,20101.5122,104.7,41,16657,87.7,82,18379,96.2
2011-2012,Dallas Mavericks,33,671050,20000,660000,20334.84848,105.9,33,17712,93,66,19023,99.45
2012-2013,Dallas Mavericks,41,821490,20000,820000,20036.34146,104.4,41,17613,92.5,82,18825,98.45
2013-2014,Dallas Mavericks,41,817982,20000,820000,19950.78049,103.9,41,17268,90.8,82,18609,97.35
2014-2015,Dallas Mavericks,41,827702,20000,820000,20187.85366,105.1,41,17653,92.7,82,18920,98.9
2015-2016,Dallas Mavericks,41,825901,20000,820000,20143.92683,104.9,41,17727,93.4,82,18935,99.15
2016-2017,Dallas Mavericks,41,825901,20000,820000,20143.92683,104.9,41,17727,93.4,82,18935,99.15
2008-2009,Denver Nuggets,41,706165,19155,785355,17223.53659,89.9,41,17227,90.2,82,17225,90.05
2009-2010,Denver Nuggets,41,737812,19155,785355,17995.41463,93.9,41,17446,91.9,82,17721,92.9
2010-2011,Denver Nuggets,41,692968,19155,785355,16901.65854,88.2,41,17285,90.8,82,17093,89.5
2011-2012,Denver Nuggets,33,561966,19155,632115,17029.27273,88.9,33,17228,91.1,66,17129,90
2012-2013,Denver Nuggets,41,730616,19155,785355,17819.90244,93,41,17401,91.1,82,17610,92.05
2013-2014,Denver Nuggets,41,692898,19155,785355,16899.95122,88.2,41,17211,90.3,82,17055,89.25
2014-2015,Denver Nuggets,41,602707,19155,785355,14700.17073,76.7,41,17437,91.5,82,16069,84.1
2015-2016,Denver Nuggets,41,577898,19155,785355,14095.07317,73.6,41,17751,93.2,82,15923,83.4
2016-2017,Denver Nuggets,41,577898,19155,785355,14095.07317,73.6,41,17751,93.2,82,15923,83.4
2008-2009,Detroit Pistons,41,896971,22076,905116,21877.34146,99.1,41,18024,93.6,82,19951,96.35
2009-2010,Detroit Pistons,41,768826,22076,905116,18751.85366,84.9,41,17104,89.4,82,17928,87.15
2010-2011,Detroit Pistons,41,683080,22076,905116,16660.4878,75.5,41,16732,87.5,82,16696,81.5
2011-2012,Detroit Pistons,33,475638,22076,728508,14413.27273,65.3,33,16342,85.3,66,15378,75.3
2012-2013,Detroit Pistons,41,606094,22076,905116,14782.78049,67,41,16885,87.9,82,15834,77.45
2013-2014,Detroit Pistons,41,615238,22076,905116,15005.80488,68,41,17280,90.1,82,16143,79.05
2014-2015,Detroit Pistons,41,625917,22076,905116,15266.26829,69.2,41,17866,93,82,16566,81.1
2015-2016,Detroit Pistons,41,677138,22076,905116,16515.56098,74.8,41,17814,93,82,17165,83.9
2016-2017,Detroit Pistons,41,677138,22076,905116,16515.56098,74.8,41,17814,93,82,17165,83.9
2008-2009,Golden State Warriors,41,776660,19596,803436,18942.92683,96.7,41,16942,88.8,82,17942,92.75
2009-2010,Golden State Warriors,41,739120,19596,803436,18027.31707,92,41,16443,86.7,82,17235,89.35
2010-2011,Golden State Warriors,41,766398,19596,803436,18692.63415,95.4,41,17049,89.6,82,17871,92.5
2011-2012,Golden State Warriors,33,622311,19596,646668,18857.90909,96.2,33,16364,86.1,66,17611,91.15
2012-2013,Golden State Warriors,41,794320,19596,803436,19373.65854,98.9,41,17204,90.5,82,18289,94.7
2013-2014,Golden State Warriors,41,803436,19596,803436,19596,100,41,17526,92,82,18561,96
2014-2015,Golden State Warriors,41,803436,19596,803436,19596,100,41,18312,96.2,82,18954,98.1
2015-2016,Golden State Warriors,41,803436,19596,803436,19596,100,41,19134,100.5,82,19365,100.25
2016-2017,Golden State Warriors,41,803436,19596,803436,19596,100,41,19134,100.5,82,19365,100.25
2008-2009,Houston Rockets,40,699280,18300,732000,17482,96.9,41,17589,91.7,81,17536,94.3
2009-2010,Houston Rockets,41,677658,18300,750300,16528.2439,91.6,41,16616,87.3,82,16572,89.45
