Year,Team,Payroll
2007-2008,ATL,55501133
2007-2008,CHI,63084166
2007-2008,CLE,82217583
2007-2008,DAL,101694879
2007-2008,DEN,82958227
2007-2008,DET,65898875
2007-2008,GSW,62148303
2007-2008,IND,66260246
2007-2008,LAC,64847945
2007-2008,LAL,72626796
2007-2008,MEM,54118526
2007-2008,MIA,74767603
2007-2008,MIL,62571522
2007-2008,MIN,69043895
2007-2008,NJN,61836211
2007-2008,NOH,62609991
2007-2008,NYK,96190114
2007-2008,OKC,60861388
2007-2008,ORL,58165973
2007-2008,PHO,71323049
2007-2008,POR,73241335
2007-2008,SAS,70048523
2007-2008,TOR,66042375
2007-2008,UTA,64959089
2007-2008,WAS,65278996
2008-2009,ATL,68168841
2008-2009,BOS,79188973
2008-2009,CHI,68126774
2008-2009,CLE,91298233
2008-2009,DAL,95045559
2008-2009,DEN,70121003
2008-2009,DET,71434174
2008-2009,HOU,73302272
2008-2009,IND,69668818
2008-2009,LAC,62764206
2008-2009,LAL,78245793
2008-2009,MEM,55958148
2008-2009,MIL,71360656
2008-2009,MIN,66445144
2008-2009,NJN,62666523
2008-2009,NOH,67530808
2008-2009,NYK,96643646
2008-2009,OKC,68341605
2008-2009,ORL,69672979
2008-2009,PHI,68301007
2008-2009,PHO,76130408
2008-2009,POR,80260059
2008-2009,SAC,69204512
2008-2009,SAS,68020487
2008-2009,TOR,73446970
2008-2009,UTA,65841407
2008-2009,WAS,70743317
2009-2010,ATL,65883642
2009-2010,BOS,83552174
2009-2010,CHI,69700359
2009-2010,CLE,83398534
2009-2010,DAL,88916075
2009-2010,DEN,74935538
2009-2010,DET,60185833
2009-2010,GSW,65352372
2009-2010,HOU,68914971
2009-2010,IND,66733257
2009-2010,LAC,61616409
2009-2010,LAL,91378064
2009-2010,MEM,57287474
2009-2010,MIA,74208013
2009-2010,MIL,66775602
2009-2010,MIN,62253360
2009-2010,NJN,59366715
2009-2010,NOH,70163827
2009-2010,NYK,85710076
2009-2010,OKC,58438646
2009-2010,ORL,82200916
2009-2010,PHI,64883448
2009-2010,PHO,65288544
2009-2010,POR,56946258
2009-2010,SAC,67515718
2009-2010,SAS,79338309
2009-2010,TOR,67822433
2009-2010,UTA,71905244
2009-2010,WAS,73440274
2010-2011,ATL,71469843
2010-2011,BOS,82045867
2010-2011,CHI,54538076
2010-2011,CLE,53990021
2010-2011,DAL,85409890
2010-2011,DEN,68019290
2010-2011,GSW,68415336
2010-2011,HOU,72315654
2010-2011,IND,65088630
2010-2011,LAC,53225329
2010-2011,LAL,91428140
2010-2011,MEM,70241344
2010-2011,MIL,69076690
2010-2011,MIN,53461123
2010-2011,NJN,58495989
2010-2011,NOH,68230729
2010-2011,NYK,67016562
2010-2011,OKC,55922488
2010-2011,ORL,90770804
2010-2011,PHI,68915246
2010-2011,POR,74584058
2010-2011,SAC,45268465
2010-2011,SAS,69522311
2010-2011,TOR,69992648
2010-2011,UTA,75855296
2010-2011,WAS,58324988
2011-2012,ATL,73669912
2011-2012,BOS,79820530
2011-2012,CHI,69548447
2011-2012,CLE,64875599
2011-2012,DAL,74463409
2011-2012,DEN,58553173
2011-2012,DET,70923605
2011-2012,GSW,61576901
2011-2012,HOU,57021755
2011-2012,IND,51554083
2011-2012,LAC,67333389
2011-2012,LAL,88264478
2011-2012,MEM,70628007
2011-2012,MIA,74117458
2011-2012,MIL,60192388
2011-2012,MIN,56844339
2011-2012,NJN,65281235
2011-2012,NOH,65441008
2011-2012,NYK,76208092
2011-2012,OKC,59501709
2011-2012,ORL,86962825
2011-2012,PHI,66672368
2011-2012,PHO,80640576
2011-2012,POR,79568536
2011-2012,SAC,48950236
2011-2012,SAS,73732762
2011-2012,TOR,55063049
2011-2012,UTA,56948761
2011-2012,WAS,55386345
2012-2013,ATL,66768365
2012-2013,CHI,75627699
2012-2013,CLE,68428583
2012-2013,DAL,67399169
2012-2013,DEN,68566062
2012-2013,GSW,69695346
2012-2013,IND,66687960
2012-2013,LAC,74354449
2012-2013,LAL,100451593
2012-2013,MEM,62954838
2012-2013,MIA,81558311
2012-2013,MIL,62476395
2012-2013,MIN,69001896
2012-2013,NJN,84290205
2012-2013,NOH,63901224
2012-2013,NYK,77970893
2012-2013,OKC,67863244
2012-2013,ORL,87114818
2012-2013,PHI,84032270
2012-2013,PHO,60844774
2012-2013,POR,73656857
2012-2013,SAC,54317436
2012-2013,SAS,69787704
2012-2013,TOR,66974563
2012-2013,UTA,64717649
2012-2013,WAS,66343388
2013-2014,ATL,55131673
2013-2014,BOS,63769609
2013-2014,CHI,85095835
2013-2014,CLE,47050404
2013-2014,DAL,67486257
2013-2014,DEN,67324401
2013-2014,DET,59157073
2013-2014,GSW,66764126
2013-2014,HOU,63413126
2013-2014,IND,55015196
2013-2014,LAC,73103861
2013-2014,LAL,76755609
2013-2014,MEM,73789859
2013-2014,MIA,82218984
2013-2014,MIL,49175131
2013-2014,MIN,67485845
2013-2014,NJN,102608995
2013-2014,NOH,62186089
2013-2014,NYK,88890427
2013-2014,OKC,71181364
2013-2014,ORL,58318374
2013-2014,PHI,58945006
2013-2014,PHO,64412586
2013-2014,POR,61539586
2013-2014,SAC,78765372
2013-2014,SAS,63666028
2013-2014,TOR,53076014
2013-2014,UTA,54491476
2013-2014,WAS,64064905
2014-2015,ATL,58337671
2014-2015,BOS,61092622
2014-2015,CLE,82038768
2014-2015,DAL,83970065
2014-2015,DEN,56278056
2014-2015,DET,66738182
2014-2015,GSW,73623654
2014-2015,HOU,87299371
2014-2015,IND,75174324
2014-2015,LAC,80901123
2014-2015,LAL,70914495
2014-2015,MEM,75341226
2014-2015,MIA,82351805
2014-2015,MIL,61443341
2014-2015,MIN,64733364
2014-2015,NJN,91873492
2014-2015,NOH,69390028
2014-2015,NYK,83022165
2014-2015,OKC,78791632
2014-2015,ORL,53338463
2014-2015,PHI,56455990
2014-2015,PHO,66503432
2014-2015,POR,92220907
2014-2015,SAC,73675912
2014-2015,SAS,69614583
2014-2015,TOR,75562364
2014-2015,UTA,59061387
2014-2015,WAS,83108421
2015-2016,ATL,71453126
2015-2016,BOS,77202316
2015-2016,CHA,77609865
2015-2016,CHI,85385898
2015-2016,CLE,105962520
2015-2016,DAL,74040317
2015-2016,DEN,72606354
2015-2016,DET,76638790
2015-2016,GSW,93707197
2015-2016,HOU,90188412
2015-2016,IND,71286088
2015-2016,LAC,95585714
2015-2016,LAL,72415125
2015-2016,MEM,83037255
2015-2016,MIA,85826352
2015-2016,MIL,70993573
2015-2016,MIN,72458417
2015-2016,NJN,83831503
2015-2016,NOH,84384711
2015-2016,NYK,75311181
2015-2016,OKC,94622660
2015-2016,ORL,63349656
2015-2016,PHI,63646397
2015-2016,PHO,69701209
2015-2016,POR,61000674
2015-2016,SAC,71840771
2015-2016,SAS,87365099
2015-2016,TOR,71934665
2015-2016,UTA,64783884
2015-2016,WAS,84237317
2016-2017,ATL,96007250
2016-2017,BOS,93465328
2016-2017,CHA,90175926
2016-2017,CHI,92571387
2016-2017,CLE,127254579
2016-2017,DAL,103994075
2016-2017,DEN,82573997
2016-2017,DET,108968495
2016-2017,GSW,101725589
2016-2017,HOU,90498298
2016-2017,IND,94008504
2016-2017,LAC,116237541
2016-2017,LAL,95226183
2016-2017,MEM,111045893
2016-2017,MIA,101818405
2016-2017,MIL,106512121
2016-2017,MIN,81621379
2016-2017,NJN,84083139
2016-2017,NOH,101707386
2016-2017,NYK,103595894
2016-2017,OKC,91339949
2016-2017,ORL,104110336
2016-2017,PHI,85674275
2016-2017,PHO,85115778
2016-2017,POR,111872768
2016-2017,SAC,96043092
2016-2017,SAS,108640621
2016-2017,TOR,108664969
2016-2017,UTA,80598193
2016-2017,WAS,102334382
