attendance,winning %,salary cap,Year/Team,#color,#allstars,
0.89,0.45,1.16,2008-2009 Atlanta Hawks,#B0B0B0,1,"{""y"": 0.89, ""x"": 0.45, ""value"": 1.16, ""y2"": ""2008-2009 Atlanta Hawks"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.81,1.35,2008-2009 Boston Celtics,#404040,3,"{""y"": 1, ""x"": 0.81, ""value"": 1.35, ""y2"": ""2008-2009 Boston Celtics"", ""x2"": ""#66ff33"", ""z"": 3},"
0.76,0.42,1.07,2008-2009 Brooklyn New Jersey Nets,#B0B0B0,1,"{""y"": 0.76, ""x"": 0.42, ""value"": 1.07, ""y2"": ""2008-2009 Brooklyn New Jersey Nets"", ""x2"": ""#cc3300"", ""z"": 1},"
0.76,0.68,1.07,2008-2009 Charlotte Hornets,#000000,0,"{""y"": 0.76, ""x"": 0.68, ""value"": 1.07, ""y2"": ""2008-2009 Charlotte Hornets"", ""x2"": ""#FFFFFF0"", ""z"": 0},"
0.98,0.4,1.16,2008-2009 Chicago Bulls,#000000,0,"{""y"": 0.98, ""x"": 0.4, ""value"": 1.16, ""y2"": ""2008-2009 Chicago Bulls"", ""x2"": ""#FFFFFF0"", ""z"": 0},"
0.97,0.55,1.56,2008-2009 Cleveland Cavaliers,#696969,2,"{""y"": 0.97, ""x"": 0.55, ""value"": 1.56, ""y2"": ""2008-2009 Cleveland Cavaliers"", ""x2"": ""#ccff33"", ""z"": 2},"
1.04,0.62,1.62,2008-2009 Dallas Mavericks,#B0B0B0,1,"{""y"": 1.04, ""x"": 0.62, ""value"": 1.62, ""y2"": ""2008-2009 Dallas Mavericks"", ""x2"": ""#cc3300"", ""z"": 1},"
0.9,0.61,1.19,2008-2009 Denver Nuggets,#B0B0B0,1,"{""y"": 0.9, ""x"": 0.61, ""value"": 1.19, ""y2"": ""2008-2009 Denver Nuggets"", ""x2"": ""#cc3300"", ""z"": 1},"
0.99,0.72,1.22,2008-2009 Detroit Pistons,#B0B0B0,1,"{""y"": 0.99, ""x"": 0.72, ""value"": 1.22, ""y2"": ""2008-2009 Detroit Pistons"", ""x2"": ""#cc3300"", ""z"": 1},"
0.97,0.59,1.15,2008-2009 Golden State Warriors,#000000,0,"{""y"": 0.97, ""x"": 0.59, ""value"": 1.15, ""y2"": ""2008-2009 Golden State Warriors"", ""x2"": ""#FFFFFF0"", ""z"": 0},"
0.97,0.67,1.25,2008-2009 Houston Rockets,#B0B0B0,1,"{""y"": 0.97, ""x"": 0.67, ""value"": 1.25, ""y2"": ""2008-2009 Houston Rockets"", ""x2"": ""#cc3300"", ""z"": 1},"
0.78,0.44,1.19,2008-2009 Indiana Pacers,#B0B0B0,1,"{""y"": 0.78, ""x"": 0.44, ""value"": 1.19, ""y2"": ""2008-2009 Indiana Pacers"", ""x2"": ""#cc3300"", ""z"": 1},"
0.85,0.28,1.07,2008-2009 Los Angeles Clippers,#000000,0,"{""y"": 0.85, ""x"": 0.28, ""value"": 1.07, ""y2"": ""2008-2009 Los Angeles Clippers"", ""x2"": ""#FFFFFF0"", ""z"": 0},"
1,0.7,1.33,2008-2009 Los Angeles Lakers,#696969,2,"{""y"": 1, ""x"": 0.7, ""value"": 1.33, ""y2"": ""2008-2009 Los Angeles Lakers"", ""x2"": ""#ccff33"", ""z"": 2},"
